title,cluster,description,keywords
Earnings Tax Collections 2003-2013,30,"The three components of the Earnings Tax, withholding, wage earner, and profits, provide the mechanism
used by the Revenue Division for the collection of the City’s single largest tax revenue stream.","map, use, land, census, developer, plan"
Jail List,3,"These are the people in custody at the Regional Correctional Center. This list is not updated on Saturday and Sunday. Visitation hours are from 7:30 a.m. to 5:30 p.m. Monday through Friday and held via video. No appointment is necessary but capacity is controlled. Visits are limited to 30 minutes. All visitors must have valid state-issued photo identification and be dressed appropriately. Use the 13th Street entrance.
For more information visit www.kcmo.gov/court","downgrade, lists, april, presentation, public, group"
KCMOre Spring/Summer 2014,3,Kcmore spring summer 2014 resident magazine,"downgrade, lists, april, presentation, public, group"
Cease List,3,Cease List,"downgrade, lists, april, presentation, public, group"
IDA 2011 A Notice Of Redemption And Defeasance 3-25-14,9,IDA 2011 A Notice Of Redemption And Defeasance 3-25-14,"notice, redemption, notice, defeasance, b, water"
IDA 2005 A Notice Of Redemption And Defeasance 3-25-14,9,IDA 2005 A Notice Of Redemption And Defeasance 3-25-14,"notice, redemption, notice, defeasance, b, water"
NPFG Upgraded By S& P 3-25-14,3,NPFG Upgraded By S& P 3-25-14,"downgrade, lists, april, presentation, public, group"
Assured Guaranty Upgrade By S& P 3-25-14,3,Assured Guaranty Upgrade By S& P 3-25-14,"downgrade, lists, april, presentation, public, group"
SO 2014 Official Statement 3-18-14,3,SO 2014 Official Statement 3-18-14,"downgrade, lists, april, presentation, public, group"
terminal advisory group public comments 031714,3,"KCI Terminal Advisory Group
Public comments received: March 17-23, 2014","downgrade, lists, april, presentation, public, group"
Terminal advisory group comments 031014,3,"KCI Terminal Advisory Group
Public comments received: March 10-16, 2014","downgrade, lists, april, presentation, public, group"
Terminal Advisory Group comments 022414,3,"Terminal Advisory group public comments received Feb. 24 through March 2, 2014","downgrade, lists, april, presentation, public, group"
2014 reBUILD/KC Neighborhood Mini-Grant Program Application,18,2014 reBUILD/KC Neighborhood Mini-Grant Program Application,"application, program, street, plan, commission, city"
2014 rebuild/KC Neighborhood Mini-Grant Program Application Checklist,18,2014 rebuild/KC Neighborhood Mini-Grant Program Application Checklist,"application, program, street, plan, commission, city"
KCMO Community Health Assessment 2011,29,KCMO Community Health Assessment 2011,"kcmo, census, data, reports, map, department’s"
Catered Events List,3,Catered Events List,"downgrade, lists, april, presentation, public, group"
Checklist For Annual Catering Permit,20,"Checklist to receive an annual Catering Permit from the Regulated Industries division of the City of Kansas City, Mo.","city, kansas, mo, city, city, city"
All Licenses,10,All Licenses,"contractor, contractor, license, required, supervisor, master"
Board of Zoning Adjustment Docket with Staff Reports,3,BZA Final Docket,"downgrade, lists, april, presentation, public, group"
Application For Traffic Control Permit,24,"Application For Traffic Control Permit, public works","permit, buildings, new, application, construction, required"
Application For Street Plate,18,"Application For Street Plate, public works","application, program, street, plan, commission, city"
Application For Oversize Permit,24,Application For Oversize Permit,"permit, buildings, new, application, construction, required"
Application for Loading Zone,18,Application for Loading Zone,"application, program, street, plan, commission, city"
Application For Hauling Permit,24,Application For Hauling Permit,"permit, buildings, new, application, construction, required"
Application for festival permit,13,Application for festival permit public works form,"form, application, plan, permit, developer, neighborhood"
Application For Excavation Permit,24,Application For Excavation Permit,"permit, buildings, new, application, construction, required"
Application For Dumpster Permit,24,"dumpster permit, public works","permit, buildings, new, application, construction, required"
Application for block party,24,NEIGHBORHOOD BLOCK PARTY APPLICATION FOR PERMIT,"permit, buildings, new, application, construction, required"
KCMO NESHAP Asbestos 2013,33,"Kansas City, Missouri Air Quality Program - Local Asbestos Notifications (refer to State/Local Commitment Number I.G.3 for FFY-97) NESHAPS Asbestos Removal and Disposal Notifications","city, kansas, kansas, city, kansas, missouri"
KCMO Local Asbestos 2013,33,"Kansas City, Missouri Air Quality Program - Local Asbestos Notifications
(refer to State/Local Commitment Number I.G.3 for FFY-97)
Local Regulated Asbestos Removal and Disposal Notifications","city, kansas, kansas, city, kansas, missouri"
2013 Adopt-a-Neighborhood Master List,3,2013 Adopt-a-Neighborhood Master List,"downgrade, lists, april, presentation, public, group"
City Plan Commission Docket with Staff Reports,6,"CPC Final Docket with staff reports for the City Plan Commission Meeting; agenda of the City Plan Commission, City Planning","plan, developer, focus, city, neighborhood, street"
City Planning and Development Organization Chart,3,2014 org chart,"downgrade, lists, april, presentation, public, group"
Lien Waiver Program Instructions,3,Lien Waiver Program Instructions,"downgrade, lists, april, presentation, public, group"
Street Plates,3,Locations of street plates.,"downgrade, lists, april, presentation, public, group"
Lien Waiver Program Application,18,Lien Waiver Program Application,"application, program, street, plan, commission, city"
FY14 Adopt A Neighborhood Program Presentation,18,"Adopt-a-Neighborhood Informational Presentation for 2014, given to neighborhoods and potential grant applicants on March 13th, 2014.","application, program, street, plan, commission, city"
2013 Adopt-a-Neighborhood Summary Data,34,Summary data from the 2013 Adopt-a-Neighborhood season. Updated numbers for the 2014 season will be published as they become available from the County Tax Sale.,"data, traffic, st, traffic, census, city"
Adopt A Neighborhood Application FY14,13,"Adopt-a-Neighborhood Grant Application form for FY 2014 (May to September). Due April 4th, 2014.","form, application, plan, permit, developer, neighborhood"
Google Fiber Central Zone,3,Google Fiber Central Zone,"downgrade, lists, april, presentation, public, group"
Police Divisions,3,A geographic boundary consisting of 2-4 sectors. There are 6 patrol divisions within Kansas City. Attribute data consist of division names. Used to display and identify police patrol divisions.,"downgrade, lists, april, presentation, public, group"
Building Permit Annual Report 1970-2013,24,Building Permit Annual Report 1970-2013,"permit, buildings, new, application, construction, required"
Building Permits Issued January To December 2013,24,Building Permits Issued January To December 2013,"permit, buildings, new, application, construction, required"
President LOC Extension 3-12-14,3,President LOC Extension 3-12-14,"downgrade, lists, april, presentation, public, group"
Chouteau LOC Extension 3-12-14,3,Chouteau LOC Extension 3-12-14,"downgrade, lists, april, presentation, public, group"
Terminal Advisory Group Agenda 031114,25,"March 11 meeting agenda, terminal advisory group","meeting, minutes, agenda, group, public, presentation"
Food Excellence Awards 2013,3,This award is designed to recognize those facilities that take the initiative to go above and beyond health code requirements to excel in sanitation and food safety.,"downgrade, lists, april, presentation, public, group"
"KCI Airport Terminal Advisory Group Terminal Development Alternatives Presentation - March 11, 2014",3,"KCI Airport Terminal Advisory Group Terminal Development Alternatives Presentation - March 11, 2014","downgrade, lists, april, presentation, public, group"
KCI Airport Terminal Advisory Committee FAQ 3-10-14,3,KCI Airport Terminal Advisory Committee FAQ 3-10-14,"downgrade, lists, april, presentation, public, group"
Certificate of Appropriateness Application,32,Application for Certificate of Appropriateness from the Historic Preservation Commission.,"historic, preservation, historic, preservation, historic, commission"
Fencing and Wall Guidelines,32,"Guidelines regarding fencing and walls ADOPTED by the Historic Preservation Commission June 28, 2013.","historic, preservation, historic, preservation, historic, commission"
Informational Series - Services Offered by Historic Preservation Office,32,Quick overview of some of the services offered by the Historic Preservation Office.,"historic, preservation, historic, preservation, historic, commission"
Informational Series - Researching Historical Water Permits,24,Quick information regarding researching historical water permits.,"permit, buildings, new, application, construction, required"
Informational Series - Landscaping,11,Quick information regarding landscaping requirements for Certificate of Appropriateness.,"information, standards, documents, city, master, required"
Informational Series - Certificate of Appropriateness,11,Quick information regarding applying for a Certificate of Appropriateness.,"information, standards, documents, city, master, required"
Vendor Payments Calendar Year 2012 Final,34,"A data set of all payments made to vendors in 2011. Checkbook level data. When analyzing this data be aware that the sum amount and voucher are unique amounts, the payment amount is the total of a check. A check often includes more than one voucher. As a result of the Red Flag Commission recommendations, Ordinance 970032 was passed by the City Council Jan. 23, 1997. This ordinance requires the city to publish a report every two weeks listing all city payments.","data, traffic, st, traffic, census, city"
Community Improvement Districts,3,Community Improvement Districts,"downgrade, lists, april, presentation, public, group"
